#!lsdb
table,point
name,latitude,longitude,accuracy,satellites,priority,userid,id
"klinika za traumatologiju jug",458109399,159842716,1,9,0,53001,1345749476
"tuškanova zapad",458111900,159980833,1,8,0,53001,1345814571
"heinzelova, zvonimirova zapad",458115933,159998066,1,9,0,53001,1345814498
"roginjina autobus zapad",458116033,159172266,1,8,0,31691,1269786011
"trg hrvatskih velikana zapad",458118650,159844366,2,6,0,53001,1345749161
"baruna filipovića 109 dugave črnomerec autobus zapad",458119516,159421966,1,8,0,8667,1273656253
"tržnica kvatrić jug",458121850,159947066,1,10,0,53001,1345746218
"mup autobus zapad",458122333,159201183,1,8,0,31691,1269785966
"146, reljkovićeva, malešnica, jankomir",458122733,159552466,1,8,0,53001,1346267608
"britanski trg zapad",458126283,159648216,1,7,0,53001,1345833477
"139, reljkovićeva, jelenovac, reljkovićeva",458124633,159552266,1,10,0,53001,1346267745
"mandaličina zapad",458124783,159489033,1,8,0,53001,1345831620
"216, kvaternikov trg, resnik, ivanja reka",458125583,159993133,1,10,0,53001,1347200527
"276, kvaternikov trg, ivanja reka, dumovec",458125633,159992850,1,9,0,53001,1347200574
"vrapčanska aleja autobus zapad",458126083,158952816,1,8,0,31691,1269786216
"slovenska zapad",458124666,159530350,1,7,0,33999,1363618572
"prilaz baruna filipovića autobus jug",458127033,159315316,1,7,0,51133,1261068798
"frankopanska jug",458127100,159696449,1,7,0,53001,1345658356
"217, kvaternikov trg, struge, petruševačko naselje",458127133,159990750,1,11,0,53001,1347200469
"215, kvaternikov trg, trnava",458128550,159988733,1,8,0,53001,1347200385
"trg doktora franje tuđmana sjever",458111466,159574316,1,7,0,33999,1363618466
"237, kvaternikov trg, kozari putevi",458130116,159985950,1,9,0,53001,1347200341
"trg bana josipa jelačića zapad, b,",458130250,159770216,1,8,0,53001,1345750821
"gospodska autobus zapad",458130316,158871433,1,8,0,31691,1269786287
"trg doktora franje tuđmana zapad",458130950,159579700,1,8,0,53001,1345832813
"vrapčanska autobus zapad",458130583,159052350,1,8,0,31691,1269786131
"draškovićeva jug, b,",458132350,159835666,1,8,0,53001,1345748827
"frankopanska zapad",458132950,159686400,1,8,0,53001,1345658862
"draškovićeva jug, a,",458134000,159844116,1,9,0,53001,1345749014
"kvaternikov trg, dolazni peron",458134000,159980683,1,9,0,53001,1347200193
"trg bana josipa jelačića zapad, a,",458134433,159766100,1,7,0,53001,1345750877
"šulekova zapad",458134433,160049566,1,7,0,53001,1345814211
"204, kvaternikov trg, horvatovac, voćarska",458135150,159979033,1,10,0,53001,1347200145
"101, britanski trg, gornje prekrižje",458135583,159645650,1,9,0,53001,1346956033
"138, britanski trg, zelemgaj",458135700,159645600,1,10,0,53001,1346956069
"med potoki autobus zapad",458136533,158760250,1,9,0,31691,1269786447
"sveti duh zapad",458136600,159417116,1,10,0,53001,1345831247
"britanski trg, dolazni peron",458136650,159646433,1,10,0,53001,1346955990
"105, britanski trg, kaptol",458137566,159645333,1,9,0,53001,1346956167
"102, britanski trg, mihaljevac",458137600,159645500,1,9,0,53001,1346956139
"202, kvaternikov trg, kozjak",458138099,159974383,1,9,0,53001,1347199997
"201, kvaternikov trg, kaptol",458138366,159976700,1,9,0,53001,1347200054
"vončinina zapad",458139899,159875816,1,9,0,53001,1345748108
"petrova zapad",458141700,159910800,1,8,0,53001,1345747529
"103, britanski trg, kraljevec",458142299,159639300,1,9,0,53001,1346955918
"borongaj početna, zapad, b,",458144233,160190633,1,8,0,53001,1345812680
"borongaj početna, zapad, a,",458145400,160188050,1,8,0,53001,1345812759
"kvaternikov trg sjever",458147166,159972716,1,9,0,53001,1345746864
"109, črnomerec, dugave",458149350,159338200,1,10,0,53001,1346175806
"146, reljkovićeva, malešnica, jankomir",458149366,159338200,1,10,0,53001,1346175893
"črnomerec, dolazni peron istok",458149683,159342866,1,9,0,53001,1346175966
"harambašićeva zapad",458150616,160085933,1,8,0,53001,1345813158
"105 kaptol, britanski trg",458151550,159786916,1,9,0,53001,1347037509
"kaptol dolazni peron",458153183,159787816,1,9,0,53001,1347038390
"črnomerec, dolazni peron zapad",458153283,159332266,1,10,0,53001,1346175731
"svetice zapad",458153683,160135100,1,8,0,53001,1345812996
"201 kaptol, kvaternikov trg",458153883,159787316,1,9,0,53001,1347037560
